block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,38,james2.jpg|,left,528,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,1,james.jpg|,left,681,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,6,brian2.jpg|,right,489,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,4,brian1.jpg|,left,975,0,7310127
3,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,19,Friendly|,left,1596,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,21,Ugly|,right,602,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,24,james.jpg|,right,704,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,37,Warm|,left,916,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,38,james1.jpg|,right,616,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,0,brian.jpg|,left,1307,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,19,Friendly|,left,1405,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,0,Considerate|,left,1153,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,8,brian.jpg|,left,754,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,9,james2.jpg|,right,915,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,10,Evil|,right,1284,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,18,Attractive|,left,1218,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,21,Warm|,left,597,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,24,brian2.jpg|,right,717,0,7310127
6,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,11,Annoying|,right,766,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,15,brian.jpg|,left,730,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,16,james1.jpg|,right,628,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,12,Evil|,right,945,0,7310127
