task_number	 question_number	 questionnaire_name	 question_name	 question_response	 attempt	 study_name	 session_id
3	8	behaviours	target2Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310267
2	0	realstart	target1Name	Francois	1	ybalab.daniel.death1.0001	7310391
2	1	realstart	target2Name	Pierre	1	ybalab.daniel.death1.0001	7310391
2	2	realstart	target1State	dead	1	ybalab.daniel.death1.0001	7310391
2	3	realstart	target2State	alive	1	ybalab.daniel.death1.0001	7310391
2	4	realstart	target1Group	France	1	ybalab.daniel.death1.0001	7310391
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310391
3	1	behaviours	target1State	died last week	1	ybalab.daniel.death1.0001	7310391
3	2	behaviours	target2	Pierre	1	ybalab.daniel.death1.0001	7310391
3	3	behaviours	target1	Francois	1	ybalab.daniel.death1.0001	7310391
3	4	behaviours	target2State	lives	1	ybalab.daniel.death1.0001	7310391
3	5	behaviours	target1Location	France	1	ybalab.daniel.death1.0001	7310391
3	6	behaviours	target1Where	 in his home (in 	1	ybalab.daniel.death1.0001	7310391
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310391
3	8	behaviours	target2Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310391
6	1	iat	feedback	Your data suggest a slight implicit preference for Pierre compared to Francois	1	ybalab.daniel.death1.0001	7310391
6	2	iat	score	-0.32	1	ybalab.daniel.death1.0001	7310391
6	3	iat	block3Cond	Pleasant/Pierre,Unpleasant/Francois	1	ybalab.daniel.death1.0001	7310391
8	0	exp	briantrst	4	1	ybalab.daniel.death1.0001	7310391
8	1	exp	briantrstrt	75232	1	ybalab.daniel.death1.0001	7310391
8	2	exp	briantrsttrt	75347	1	ybalab.daniel.death1.0001	7310391
8	3	exp	brianlike	4	1	ybalab.daniel.death1.0001	7310391
8	4	exp	brianlikert	13087	1	ybalab.daniel.death1.0001	7310391
8	5	exp	brianliketrt	88434	1	ybalab.daniel.death1.0001	7310391
8	6	exp	jamestrst	4	1	ybalab.daniel.death1.0001	7310391
8	7	exp	jamestrstrt	10975	1	ybalab.daniel.death1.0001	7310391
8	8	exp	jamestrsttrt	99409	1	ybalab.daniel.death1.0001	7310391
8	9	exp	jamesfrnd	4	1	ybalab.daniel.death1.0001	7310391
8	10	exp	jamesfrndrt	10719	1	ybalab.daniel.death1.0001	7310391
8	11	exp	jamesfrndtrt	110128	1	ybalab.daniel.death1.0001	7310391
8	12	exp	brianfrnd	4	1	ybalab.daniel.death1.0001	7310391
8	13	exp	brianfrndrt	2730	1	ybalab.daniel.death1.0001	7310391
8	14	exp	brianfrndtrt	112858	1	ybalab.daniel.death1.0001	7310391
8	15	exp	jameslike	4	1	ybalab.daniel.death1.0001	7310391
8	16	exp	jameslikert	9764	1	ybalab.daniel.death1.0001	7310391
8	17	exp	jamesliketrt	122622	1	ybalab.daniel.death1.0001	7310391
10	0	mem	brianname	3	1	ybalab.daniel.death1.0001	7310391
10	1	mem	briannamert	10696	1	ybalab.daniel.death1.0001	7310391
10	2	mem	briannametrt	10823	1	ybalab.daniel.death1.0001	7310391
10	3	mem	jamesnational	3	1	ybalab.daniel.death1.0001	7310391
10	4	mem	jamesnationalrt	8645	1	ybalab.daniel.death1.0001	7310391
10	5	mem	jamesnationaltrt	19468	1	ybalab.daniel.death1.0001	7310391
10	6	mem	jamesname	4	1	ybalab.daniel.death1.0001	7310391
10	7	mem	jamesnamert	3476	1	ybalab.daniel.death1.0001	7310391
10	8	mem	jamesnametrt	22944	1	ybalab.daniel.death1.0001	7310391
10	9	mem	briannational	3	1	ybalab.daniel.death1.0001	7310391
10	10	mem	briannationalrt	4374	1	ybalab.daniel.death1.0001	7310391
10	11	mem	briannationaltrt	27318	1	ybalab.daniel.death1.0001	7310391
10	12	mem	brianlive	1	1	ybalab.daniel.death1.0001	7310391
10	13	mem	brianlivert	5132	1	ybalab.daniel.death1.0001	7310391
10	14	mem	brianlivetrt	32450	1	ybalab.daniel.death1.0001	7310391
10	15	mem	jameslive	2	1	ybalab.daniel.death1.0001	7310391
10	16	mem	jameslivert	2029	1	ybalab.daniel.death1.0001	7310391
10	17	mem	jameslivetrt	34479	1	ybalab.daniel.death1.0001	7310391
2	0	realstart	target1Name	Pierre	1	ybalab.daniel.death1.0001	7310498
2	1	realstart	target2Name	Francois	1	ybalab.daniel.death1.0001	7310498
2	2	realstart	target1State	alive	1	ybalab.daniel.death1.0001	7310498
2	3	realstart	target2State	dead	1	ybalab.daniel.death1.0001	7310498
2	4	realstart	target1Group	France	1	ybalab.daniel.death1.0001	7310498
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310498
3	1	behaviours	target1State	lives	1	ybalab.daniel.death1.0001	7310498
3	2	behaviours	target2	Francois	1	ybalab.daniel.death1.0001	7310498
3	3	behaviours	target1	Pierre	1	ybalab.daniel.death1.0001	7310498
3	4	behaviours	target2State	died last week	1	ybalab.daniel.death1.0001	7310498
3	5	behaviours	target1Location	France	1	ybalab.daniel.death1.0001	7310498
3	6	behaviours	target1Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310498
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310498
3	8	behaviours	target2Where	 in his home (in 	1	ybalab.daniel.death1.0001	7310498
6	1	iat	feedback	Your data suggest a moderate implicit preference for Pierre compared to Francois	1	ybalab.daniel.death1.0001	7310498
6	2	iat	score	0.59	1	ybalab.daniel.death1.0001	7310498
6	3	iat	block3Cond	Pleasant/Francois,Unpleasant/Pierre	1	ybalab.daniel.death1.0001	7310498
8	0	exp	jameslike	3	1	ybalab.daniel.death1.0001	7310498
8	1	exp	jameslikert	23751	1	ybalab.daniel.death1.0001	7310498
8	2	exp	jamesliketrt	23788	1	ybalab.daniel.death1.0001	7310498
8	3	exp	jamesfrnd	3	1	ybalab.daniel.death1.0001	7310498
8	4	exp	jamesfrndrt	6640	1	ybalab.daniel.death1.0001	7310498
8	5	exp	jamesfrndtrt	30428	1	ybalab.daniel.death1.0001	7310498
8	6	exp	briantrst	6	1	ybalab.daniel.death1.0001	7310498
8	7	exp	briantrstrt	6152	1	ybalab.daniel.death1.0001	7310498
8	8	exp	briantrsttrt	36580	1	ybalab.daniel.death1.0001	7310498
8	9	exp	brianfrnd	7	1	ybalab.daniel.death1.0001	7310498
8	10	exp	brianfrndrt	6984	1	ybalab.daniel.death1.0001	7310498
8	11	exp	brianfrndtrt	43564	1	ybalab.daniel.death1.0001	7310498
8	12	exp	brianlike	7	1	ybalab.daniel.death1.0001	7310498
8	13	exp	brianlikert	4248	1	ybalab.daniel.death1.0001	7310498
8	14	exp	brianliketrt	47812	1	ybalab.daniel.death1.0001	7310498
8	15	exp	jamestrst	3	1	ybalab.daniel.death1.0001	7310498
8	16	exp	jamestrstrt	6455	1	ybalab.daniel.death1.0001	7310498
8	17	exp	jamestrsttrt	54267	1	ybalab.daniel.death1.0001	7310498
10	0	mem	briannational	3	1	ybalab.daniel.death1.0001	7310498
10	1	mem	briannationalrt	11528	1	ybalab.daniel.death1.0001	7310498
10	2	mem	briannationaltrt	11568	1	ybalab.daniel.death1.0001	7310498
10	3	mem	jamesname	4	1	ybalab.daniel.death1.0001	7310498
10	4	mem	jamesnamert	4347	1	ybalab.daniel.death1.0001	7310498
10	5	mem	jamesnametrt	15915	1	ybalab.daniel.death1.0001	7310498
10	6	mem	jameslive	1	1	ybalab.daniel.death1.0001	7310498
10	7	mem	jameslivert	3813	1	ybalab.daniel.death1.0001	7310498
10	8	mem	jameslivetrt	19728	1	ybalab.daniel.death1.0001	7310498
10	9	mem	brianlive	2	1	ybalab.daniel.death1.0001	7310498
10	10	mem	brianlivert	3143	1	ybalab.daniel.death1.0001	7310498
10	11	mem	brianlivetrt	22871	1	ybalab.daniel.death1.0001	7310498
10	12	mem	jamesnational	3	1	ybalab.daniel.death1.0001	7310498
10	13	mem	jamesnationalrt	4632	1	ybalab.daniel.death1.0001	7310498
10	14	mem	jamesnationaltrt	27503	1	ybalab.daniel.death1.0001	7310498
10	15	mem	brianname	3	1	ybalab.daniel.death1.0001	7310498
